"InternalHPID","SignatureHPID","UPRN","Price","PricePerSquareMetre","LandRegistryTransactionDate","SquareMetreSource","IndexedPrice","IndexedPricePerSquareMetre","LandRegistryPropertyType","SquareMetreSourcePropertyType","NewBuildFlag","Tenure","CouncilTaxBand","LocalAuthorityCode","SignatureHPIDCentroid_x","SignatureHPIDCentroid_y",
"7aa872ab-2e27-1983-25fb-2aaa6c0812b7","a8e903c0-0d92-ef88-7b49-cdc5ef7ffb60","200000069974","576100","12257.446808510638","2014-09-01","Epc Domestic","714851.19","15209.6","F","Flat","N","L","E","E09000001","533333.253","181622.571",
"b6b51596-af75-29b8-f412-5bc686fb74ba","562b8c7e-ae42-be07-e288-223eb6c03264","200000069332","205000","4456.521739130435","1998-10-23","Epc Domestic","1181997.35","25695.59","F","Flat","N","L","E","E09000001","531829.203","181034.448",
"570362aa-b7e5-5ace-a06e-f74fc788a621","0ca8b461-92bf-a850-bf6f-0846f77fed01","200000073203","200000","5405.405405405405","2002-04-12","Epc Domestic","761394.92","20578.24","F","Flat","N","L","D","E09000001","532203.694","181904.756",
"f2a19718-0afb-5849-b471-b736e7b70213","e6f7844a-1016-37f3-8a6b-b1d9d8c8a351","200000073858","1500000","14851.485148514852","2022-04-14","Epc Domestic","1718905.13","17018.86","F","Flat","N","L","G","E09000001","532142.809","181881.777",
"7bd845d9-21c8-124b-73e4-d1326b98d885","df7c7b56-c365-2ecd-ff1b-e5fa90c187f5","95500464","330000","5156.25","2004-05-14","Epc Domestic","1100372.67","17193.32","F","Flat","N","L","F","E09000001","532110.668","181638.855",
"9048f9ab-7245-224d-66b4-be20c4890614","43be9889-b420-c0ee-8f3b-ec287955b326","","100000","319.4888178913738","2019-05-01","Epc Non Domestic","130000.85","415.34","O","B1 Offices and Workshop businesses","N","L","","E09000001","532520.163","180899.131",
"01668cfe-9d43-82ec-a072-1ae139d23b44","580e7a6a-a44b-3132-064c-1adafb479e36","200000073649","265000","3581.0810810810813","2001-07-13","Epc Domestic","1072996.92","14499.96","F","Flat","N","L","E","E09000001","532401.409","181752.192",
"3019e477-0466-5cbf-1ab0-8ed2863ddcec","d1a6d4d1-c9cc-3834-aab2-3e1347d5b31e","100020000929","220000","3142.8571428571427","1996-09-27","Epc Domestic","1900011.21","27143.02","F","Flat","Y","L","G","E09000001","532055.2815","181489.4545",
"27b155a6-05ae-8841-1b71-b48e2ae6a718","bff18bd9-b695-ddb1-7adc-318759a142ae","95510812","1840000","13629.62962962963","2013-03-11","Epc Domestic","3259882.23","24147.28","F","Flat","Y","L","G","E09000001","532388.358","181865.999",
"75150ce9-c826-6db0-fa6c-f1a33da236c3","077fba4e-2449-d5c2-6641-62c91a1d1060","95510810","370000","10277.777777777777","2010-07-08","Epc Domestic","823189.92","22866.39","F","Flat","Y","L","D","E09000001","532388.358","181865.999",
