"GEOGRAPHY_CODE"	"RURAL_URBAN"	"CELL"	"OBS_VALUE"
"E02002388"	"0"	"13"	0
"E02002389"	"0"	"7"	163
"E02002389"	"0"	"8"	1474
"E02002389"	"0"	"9"	414
"E02002389"	"0"	"10"	899
"E02002389"	"0"	"11"	45
"E02002389"	"0"	"12"	19
"E02002389"	"0"	"13"	1
"E02002390"	"0"	"7"	91
"E02002390"	"0"	"8"	1664
"E02002390"	"0"	"9"	484
"E02002390"	"0"	"10"	454
"E02002390"	"0"	"11"	19
"E02002390"	"0"	"12"	32
"E02002390"	"0"	"13"	0
"E02002391"	"0"	"7"	391
"E02002391"	"0"	"8"	1226
"E02002391"	"0"	"9"	1492
"E02002391"	"0"	"10"	385
"E02002391"	"0"	"11"	67
"E02002391"	"0"	"12"	38
"E02002391"	"0"	"13"	0
"E02002392"	"0"	"7"	34
"E02002392"	"0"	"8"	120
"E02002392"	"0"	"9"	531
"E02002392"	"0"	"10"	1097
"E02002392"	"0"	"11"	682
"E02002392"	"0"	"12"	46
"E02002392"	"0"	"13"	0
"E02002393"	"0"	"7"	121
"E02002393"	"0"	"8"	216
"E02002393"	"0"	"9"	1213
"E02002393"	"0"	"10"	2340
"E02002393"	"0"	"11"	66
"E02002393"	"0"	"12"	32
"E02002393"	"0"	"13"	0
"E02002394"	"0"	"7"	104
"E02002394"	"0"	"8"	453
"E02002394"	"0"	"9"	1822
"E02002394"	"0"	"10"	812
"E02002394"	"0"	"11"	62
"E02002394"	"0"	"12"	28
"E02002394"	"0"	"13"	3
"E02002395"	"0"	"7"	433
"E02002395"	"0"	"8"	1713
"E02002395"	"0"	"9"	283
"E02002395"	"0"	"10"	96
"E02002395"	"0"	"11"	4
"E02002395"	"0"	"12"	6
"E02002395"	"0"	"13"	1
"E02002396"	"0"	"7"	307
"E02002396"	"0"	"8"	1182
"E02002396"	"0"	"9"	1602
"E02002396"	"0"	"10"	681
"E02002396"	"0"	"11"	240
"E02002396"	"0"	"12"	22
"E02002396"	"0"	"13"	1
"E02002397"	"0"	"7"	326
"E02002397"	"0"	"8"	1481
"E02002397"	"0"	"9"	838
"E02002397"	"0"	"10"	653
"E02002397"	"0"	"11"	32
"E02002397"	"0"	"12"	24
"E02002397"	"0"	"13"	0
"E02002398"	"0"	"7"	612
"E02002398"	"0"	"8"	1892
"E02002398"	"0"	"9"	529
"E02002398"	"0"	"10"	209
"E02002398"	"0"	"11"	91
